node Id source	node Id dst	edge hierarchical prop
71	88	same
88	71	same
90	91	same
91	90	same
71	91	same
91	71	same
90	92	same
92	90	same
93	92	same
92	93	same
90	93	same
93	90	same
93	90	same
90	93	same
68	92	lower
92	68	higher
66	92	same
92	66	same
94	95	same
95	94	same
96	95	same
95	96	same
94	96	same
96	94	same
96	94	same
94	96	same
66	95	same
95	66	same
94	97	same
97	94	same
96	97	same
97	96	same
98	97	same
97	98	same
99	97	same
97	99	same
100	97	same
97	100	same
101	97	same
97	101	same
94	96	same
96	94	same
94	98	same
98	94	same
94	99	same
99	94	same
94	100	same
100	94	same
94	101	same
101	94	same
96	94	same
94	96	same
96	98	same
98	96	same
96	99	same
99	96	same
96	100	same
100	96	same
96	101	same
101	96	same
98	94	same
94	98	same
98	96	same
96	98	same
98	99	same
99	98	same
98	100	same
100	98	same
98	101	same
101	98	same
99	94	same
94	99	same
99	96	same
96	99	same
99	98	same
98	99	same
99	100	same
100	99	same
99	101	same
101	99	same
100	94	same
94	100	same
100	96	same
96	100	same
100	98	same
98	100	same
100	99	same
99	100	same
100	101	same
101	100	same
101	94	same
94	101	same
101	96	same
96	101	same
101	98	same
98	101	same
101	99	same
99	101	same
101	100	same
100	101	same
68	97	lower
97	68	higher
66	97	same
97	66	same
102	103	same
103	102	same
66	103	same
103	66	same
102	104	same
104	102	same
105	104	same
104	105	same
106	104	same
104	106	same
107	104	same
104	107	same
102	105	same
105	102	same
102	106	same
106	102	same
102	107	same
107	102	same
105	102	same
102	105	same
105	106	same
106	105	same
105	107	same
107	105	same
106	102	same
102	106	same
106	105	same
105	106	same
106	107	same
107	106	same
107	102	same
102	107	same
107	105	same
105	107	same
107	106	same
106	107	same
68	104	lower
104	68	higher
66	104	same
104	66	same
108	109	same
109	108	same
66	109	same
109	66	same
108	110	same
110	108	same
111	110	same
110	111	same
108	111	same
111	108	same
111	108	same
108	111	same
68	110	lower
110	68	higher
66	110	same
110	66	same
112	113	same
113	112	same
114	113	same
113	114	same
112	114	same
114	112	same
114	112	same
112	114	same
71	113	same
113	71	same
112	115	same
115	112	same
114	115	same
115	114	same
116	115	same
115	116	same
112	114	same
114	112	same
112	116	same
116	112	same
114	112	same
112	114	same
114	116	same
116	114	same
116	112	same
112	116	same
116	114	same
114	116	same
68	115	lower
115	68	higher
71	115	same
115	71	same
117	118	same
118	117	same
71	118	same
118	71	same
117	119	same
119	117	same
120	119	same
119	120	same
121	119	same
119	121	same
122	119	same
119	122	same
101	119	same
119	101	same
117	120	same
120	117	same
117	121	same
121	117	same
117	122	same
122	117	same
117	101	same
101	117	same
120	117	same
117	120	same
120	121	same
121	120	same
120	122	same
122	120	same
120	101	same
101	120	same
121	117	same
117	121	same
121	120	same
120	121	same
121	122	same
122	121	same
121	101	same
101	121	same
122	117	same
117	122	same
122	120	same
120	122	same
122	121	same
121	122	same
122	101	same
101	122	same
101	117	same
117	101	same
101	120	same
120	101	same
101	121	same
121	101	same
101	122	same
122	101	same
68	119	lower
119	68	higher
71	119	same
119	71	same
123	124	same
124	123	same
66	124	same
124	66	same
123	125	same
125	123	same
126	125	same
125	126	same
123	126	same
126	123	same
126	123	same
123	126	same
68	125	lower
125	68	higher
71	125	same
125	71	same
127	128	same
128	127	same
66	128	same
128	66	same
127	129	same
129	127	same
130	129	same
129	130	same
127	130	same
130	127	same
130	127	same
127	130	same
68	129	lower
129	68	higher
71	129	same
129	71	same
131	132	same
132	131	same
66	132	same
132	66	same
131	133	same
133	131	same
134	133	same
133	134	same
131	134	same
134	131	same
134	131	same
131	134	same
68	133	lower
133	68	higher
66	133	same
133	66	same
66	135	same
135	66	same
136	137	same
137	136	same
138	137	same
137	138	same
139	137	same
137	139	same
136	138	same
138	136	same
136	139	same
139	136	same
138	136	same
136	138	same
138	139	same
139	138	same
139	136	same
136	139	same
139	138	same
138	139	same
